"Notes"	"Cancer Sites"	"Cancer Sites Code"	"States"	"States Code"	"Year"	"Year Code"	Count	Population	Age-Adjusted Rate	Crude Rate
	"Tongue"	"20020"	"Kansas"	"20"	"2000"	"2000"	71	2693681	2.6	2.6
	"Tongue"	"20020"	"Kansas"	"20"	"2001"	"2001"	58	2702162	2.1	2.1
	"Tongue"	"20020"	"Kansas"	"20"	"2002"	"2002"	66	2713535	2.4	2.4
	"Tongue"	"20020"	"Kansas"	"20"	"2003"	"2003"	79	2723004	2.8	2.9
	"Tongue"	"20020"	"Kansas"	"20"	"2004"	"2004"	58	2734373	2.0	2.1
	"Tongue"	"20020"	"Kansas"	"20"	"2005"	"2005"	86	2745299	3.0	3.1
	"Tongue"	"20020"	"Kansas"	"20"	"2006"	"2006"	72	2762931	2.5	2.6
	"Tongue"	"20020"	"Kansas"	"20"	"2007"	"2007"	101	2783785	3.4	3.6
	"Tongue"	"20020"	"Kansas"	"20"	"2008"	"2008"	98	2808076	3.2	3.5
	"Tongue"	"20020"	"Kansas"	"20"	"2009"	"2009"	102	2832704	3.3	3.6
	"Tongue"	"20020"	"Kansas"	"20"	"2010"	"2010"	96	2858825	3.0	3.4
	"Tongue"	"20020"	"Kansas"	"20"	"2011"	"2011"	119	2872711	3.7	4.1
	"Tongue"	"20020"	"Kansas"	"20"	"2012"	"2012"	121	2891541	3.6	4.2
	"Tongue"	"20020"	"Kansas"	"20"	"2013"	"2013"	102	2902190	3.0	3.5
	"Tongue"	"20020"	"Kansas"	"20"	"2014"	"2014"	133	2912032	3.9	4.6
	"Tongue"	"20020"	"Kansas"	"20"	"2015"	"2015"	150	2923211	4.4	5.1
	"Tongue"	"20020"	"Kansas"	"20"	"2016"	"2016"	131	2927628	3.8	4.5
	"Tongue"	"20020"	"Kansas"	"20"	"2017"	"2017"	119	2927546	3.4	4.1
	"Tongue"	"20020"	"Kansas"	"20"	"2018"	"2018"	139	2931560	4.2	4.7
	"Tongue"	"20020"	"Kansas"	"20"	"2019"	"2019"	138	2933672	3.8	4.7
	"Tongue"	"20020"	"Kansas"	"20"	"2020"	"2020"	135	2937919	3.9	4.6
	"Tongue"	"20020"	"Kansas"	"20"	"2021"	"2021"	136	2937922	3.7	4.6
	"Salivary Gland"	"20030"	"Kansas"	"20"	"1999"	"1999"	37	2678338	1.3	1.4
	"Salivary Gland"	"20030"	"Kansas"	"20"	"2000"	"2000"	38	2693681	1.4	1.4
	"Salivary Gland"	"20030"	"Kansas"	"20"	"2001"	"2001"	36	2702162	1.3	1.3
	"Salivary Gland"	"20030"	"Kansas"	"20"	"2002"	"2002"	36	2713535	1.3	1.3
	"Salivary Gland"	"20030"	"Kansas"	"20"	"2003"	"2003"	41	2723004	1.5	1.5
	"Salivary Gland"	"20030"	"Kansas"	"20"	"2004"	"2004"	52	2734373	1.8	1.9
	"Salivary Gland"	"20030"	"Kansas"	"20"	"2005"	"2005"	40	2745299	1.4	1.5
	"Salivary Gland"	"20030"	"Kansas"	"20"	"2006"	"2006"	42	2762931	1.4	1.5
	"Salivary Gland"	"20030"	"Kansas"	"20"	"2007"	"2007"	44	2783785	1.4	1.6
	"Salivary Gland"	"20030"	"Kansas"	"20"	"2008"	"2008"	48	2808076	1.5	1.7
	"Salivary Gland"	"20030"	"Kansas"	"20"	"2009"	"2009"	39	2832704	1.3	1.4
	"Salivary Gland"	"20030"	"Kansas"	"20"	"2010"	"2010"	35	2858825	1.2	1.2
	"Salivary Gland"	"20030"	"Kansas"	"20"	"2011"	"2011"	37	2872711	1.2	1.3
	"Salivary Gland"	"20030"	"Kansas"	"20"	"2012"	"2012"	50	2891541	1.5	1.7
	"Salivary Gland"	"20030"	"Kansas"	"20"	"2013"	"2013"	54	2902190	1.7	1.9
	"Salivary Gland"	"20030"	"Kansas"	"20"	"2014"	"2014"	51	2912032	1.6	1.8
	"Salivary Gland"	"20030"	"Kansas"	"20"	"2015"	"2015"	50	2923211	1.5	1.7
	"Salivary Gland"	"20030"	"Kansas"	"20"	"2016"	"2016"	56	2927628	1.8	1.9
	"Salivary Gland"	"20030"	"Kansas"	"20"	"2017"	"2017"	44	2927546	1.3	1.5
	"Salivary Gland"	"20030"	"Kansas"	"20"	"2018"	"2018"	37	2931560	1.1	1.3
	"Salivary Gland"	"20030"	"Kansas"	"20"	"2019"	"2019"	47	2933672	1.3	1.6
	"Salivary Gland"	"20030"	"Kansas"	"20"	"2020"	"2020"	48	2937919	1.3	1.6
	"Salivary Gland"	"20030"	"Kansas"	"20"	"2021"	"2021"	49	2937922	1.5	1.7
	"Floor of Mouth"	"20040"	"Kansas"	"20"	"1999"	"1999"	30	2678338	1.1	1.1
	"Floor of Mouth"	"20040"	"Kansas"	"20"	"2000"	"2000"	Suppressed	2693681	Suppressed	Suppressed
	"Floor of Mouth"	"20040"	"Kansas"	"20"	"2001"	"2001"	26	2702162	1.0	1.0
	"Floor of Mouth"	"20040"	"Kansas"	"20"	"2002"	"2002"	Suppressed	2713535	Suppressed	Suppressed
	"Floor of Mouth"	"20040"	"Kansas"	"20"	"2003"	"2003"	Suppressed	2723004	Suppressed	Suppressed
	"Floor of Mouth"	"20040"	"Kansas"	"20"	"2004"	"2004"	23	2734373	0.8	0.8
	"Floor of Mouth"	"20040"	"Kansas"	"20"	"2005"	"2005"	23	2745299	0.8	0.8
	"Floor of Mouth"	"20040"	"Kansas"	"20"	"2006"	"2006"	18	2762931	0.6	0.7
	"Floor of Mouth"	"20040"	"Kansas"	"20"	"2007"	"2007"	19	2783785	0.6	0.7
	"Floor of Mouth"	"20040"	"Kansas"	"20"	"2008"	"2008"	Suppressed	2808076	Suppressed	Suppressed
	"Floor of Mouth"	"20040"	"Kansas"	"20"	"2009"	"2009"	17	2832704	0.5	0.6
	"Floor of Mouth"	"20040"	"Kansas"	"20"	"2010"	"2010"	20	2858825	0.6	0.7
	"Floor of Mouth"	"20040"	"Kansas"	"20"	"2011"	"2011"	Suppressed	2872711	Suppressed	Suppressed
	"Floor of Mouth"	"20040"	"Kansas"	"20"	"2012"	"2012"	Suppressed	2891541	Suppressed	Suppressed
	"Floor of Mouth"	"20040"	"Kansas"	"20"	"2013"	"2013"	Suppressed	2902190	Suppressed	Suppressed
	"Floor of Mouth"	"20040"	"Kansas"	"20"	"2014"	"2014"	19	2912032	0.5	0.7
	"Floor of Mouth"	"20040"	"Kansas"	"20"	"2015"	"2015"	23	2923211	0.7	0.8
	"Floor of Mouth"	"20040"	"Kansas"	"20"	"2016"	"2016"	Suppressed	2927628	Suppressed	Suppressed
	"Floor of Mouth"	"20040"	"Kansas"	"20"	"2017"	"2017"	Suppressed	2927546	Suppressed	Suppressed
	"Floor of Mouth"	"20040"	"Kansas"	"20"	"2018"	"2018"	16	2931560	0.5	0.5
	"Floor of Mouth"	"20040"	"Kansas"	"20"	"2019"	"2019"	17	2933672	0.4	0.6
	"Floor of Mouth"	"20040"	"Kansas"	"20"	"2020"	"2020"	19	2937919	0.5	0.6
	"Floor of Mouth"	"20040"	"Kansas"	"20"	"2021"	"2021"	Suppressed	2937922	Suppressed	Suppressed
	"Gum and Other Mouth"	"20050"	"Kansas"	"20"	"1999"	"1999"	49	2678338	1.8	1.8
	"Gum and Other Mouth"	"20050"	"Kansas"	"20"	"2000"	"2000"	44	2693681	1.6	1.6
	"Gum and Other Mouth"	"20050"	"Kansas"	"20"	"2001"	"2001"	44	2702162	1.6	1.6
	"Gum and Other Mouth"	"20050"	"Kansas"	"20"	"2002"	"2002"	38	2713535	1.4	1.4
	"Gum and Other Mouth"	"20050"	"Kansas"	"20"	"2003"	"2003"	37	2723004	1.3	1.4
	"Gum and Other Mouth"	"20050"	"Kansas"	"20"	"2004"	"2004"	40	2734373	1.4	1.5
	"Gum and Other Mouth"	"20050"	"Kansas"	"20"	"2005"	"2005"	41	2745299	1.4	1.5
	"Gum and Other Mouth"	"20050"	"Kansas"	"20"	"2006"	"2006"	39	2762931	1.3	1.4
	"Gum and Other Mouth"	"20050"	"Kansas"	"20"	"2007"	"2007"	50	2783785	1.7	1.8
	"Gum and Other Mouth"	"20050"	"Kansas"	"20"	"2008"	"2008"	48	2808076	1.6	1.7
	"Gum and Other Mouth"	"20050"	"Kansas"	"20"	"2009"	"2009"	51	2832704	1.7	1.8
	"Gum and Other Mouth"	"20050"	"Kansas"	"20"	"2010"	"2010"	44	2858825	1.4	1.5
	"Gum and Other Mouth"	"20050"	"Kansas"	"20"	"2011"	"2011"	52	2872711	1.7	1.8
	"Gum and Other Mouth"	"20050"	"Kansas"	"20"	"2012"	"2012"	63	2891541	2.0	2.2
	"Gum and Other Mouth"	"20050"	"Kansas"	"20"	"2013"	"2013"	44	2902190	1.3	1.5
	"Gum and Other Mouth"	"20050"	"Kansas"	"20"	"2014"	"2014"	60	2912032	1.8	2.1
	"Gum and Other Mouth"	"20050"	"Kansas"	"20"	"2015"	"2015"	54	2923211	1.6	1.8
	"Gum and Other Mouth"	"20050"	"Kansas"	"20"	"2016"	"2016"	42	2927628	1.2	1.4
	"Gum and Other Mouth"	"20050"	"Kansas"	"20"	"2017"	"2017"	56	2927546	1.6	1.9
	"Gum and Other Mouth"	"20050"	"Kansas"	"20"	"2018"	"2018"	54	2931560	1.5	1.8
	"Gum and Other Mouth"	"20050"	"Kansas"	"20"	"2019"	"2019"	61	2933672	1.8	2.1
	"Gum and Other Mouth"	"20050"	"Kansas"	"20"	"2020"	"2020"	43	2937919	1.1	1.5
	"Gum and Other Mouth"	"20050"	"Kansas"	"20"	"2021"	"2021"	67	2937922	1.8	2.3
	"Nasopharynx"	"20060"	"Kansas"	"20"	"1999"	"1999"	Suppressed	2678338	Suppressed	Suppressed
	"Nasopharynx"	"20060"	"Kansas"	"20"	"2000"	"2000"	Suppressed	2693681	Suppressed	Suppressed
	"Nasopharynx"	"20060"	"Kansas"	"20"	"2001"	"2001"	Suppressed	2702162	Suppressed	Suppressed
	"Nasopharynx"	"20060"	"Kansas"	"20"	"2002"	"2002"	16	2713535	0.6	0.6
	"Nasopharynx"	"20060"	"Kansas"	"20"	"2003"	"2003"	Suppressed	2723004	Suppressed	Suppressed
	"Nasopharynx"	"20060"	"Kansas"	"20"	"2004"	"2004"	18	2734373	0.6	0.7
	"Nasopharynx"	"20060"	"Kansas"	"20"	"2005"	"2005"	Suppressed	2745299	Suppressed	Suppressed
	"Nasopharynx"	"20060"	"Kansas"	"20"	"2006"	"2006"	Suppressed	2762931	Suppressed	Suppressed
	"Nasopharynx"	"20060"	"Kansas"	"20"	"2007"	"2007"	Suppressed	2783785	Suppressed	Suppressed
	"Nasopharynx"	"20060"	"Kansas"	"20"	"2008"	"2008"	Suppressed	2808076	Suppressed	Suppressed
	"Nasopharynx"	"20060"	"Kansas"	"20"	"2009"	"2009"	Suppressed	2832704	Suppressed	Suppressed
	"Nasopharynx"	"20060"	"Kansas"	"20"	"2010"	"2010"	19	2858825	0.6	0.7
	"Nasopharynx"	"20060"	"Kansas"	"20"	"2011"	"2011"	Suppressed	2872711	Suppressed	Suppressed
	"Nasopharynx"	"20060"	"Kansas"	"20"	"2012"	"2012"	Suppressed	2891541	Suppressed	Suppressed
	"Nasopharynx"	"20060"	"Kansas"	"20"	"2013"	"2013"	Suppressed	2902190	Suppressed	Suppressed
	"Nasopharynx"	"20060"	"Kansas"	"20"	"2014"	"2014"	Suppressed	2912032	Suppressed	Suppressed
	"Nasopharynx"	"20060"	"Kansas"	"20"	"2015"	"2015"	16	2923211	0.5	0.5
	"Nasopharynx"	"20060"	"Kansas"	"20"	"2016"	"2016"	20	2927628	0.6	0.7
	"Nasopharynx"	"20060"	"Kansas"	"20"	"2017"	"2017"	Suppressed	2927546	Suppressed	Suppressed
	"Nasopharynx"	"20060"	"Kansas"	"20"	"2018"	"2018"	16	2931560	0.5	0.5
	"Nasopharynx"	"20060"	"Kansas"	"20"	"2019"	"2019"	Suppressed	2933672	Suppressed	Suppressed
	"Nasopharynx"	"20060"	"Kansas"	"20"	"2020"	"2020"	19	2937919	0.5	0.6
	"Nasopharynx"	"20060"	"Kansas"	"20"	"2021"	"2021"	Suppressed	2937922	Suppressed	Suppressed
	"Tonsil"	"20070"	"Kansas"	"20"	"1999"	"1999"	30	2678338	1.2	1.1
	"Tonsil"	"20070"	"Kansas"	"20"	"2000"	"2000"	30	2693681	1.1	1.1
	"Tonsil"	"20070"	"Kansas"	"20"	"2001"	"2001"	32	2702162	1.2	1.2
	"Tonsil"	"20070"	"Kansas"	"20"	"2002"	"2002"	38	2713535	1.4	1.4
	"Tonsil"	"20070"	"Kansas"	"20"	"2003"	"2003"	42	2723004	1.5	1.5
	"Tonsil"	"20070"	"Kansas"	"20"	"2004"	"2004"	45	2734373	1.6	1.6
	"Tonsil"	"20070"	"Kansas"	"20"	"2005"	"2005"	32	2745299	1.1	1.2
	"Tonsil"	"20070"	"Kansas"	"20"	"2006"	"2006"	44	2762931	1.5	1.6
	"Tonsil"	"20070"	"Kansas"	"20"	"2007"	"2007"	54	2783785	1.8	1.9
	"Tonsil"	"20070"	"Kansas"	"20"	"2008"	"2008"	55	2808076	1.8	2.0
	"Tonsil"	"20070"	"Kansas"	"20"	"2009"	"2009"	53	2832704	1.8	1.9
	"Tonsil"	"20070"	"Kansas"	"20"	"2010"	"2010"	61	2858825	1.9	2.1
	"Tonsil"	"20070"	"Kansas"	"20"	"2011"	"2011"	65	2872711	2.1	2.3
	"Tonsil"	"20070"	"Kansas"	"20"	"2012"	"2012"	61	2891541	1.9	2.1
	"Tonsil"	"20070"	"Kansas"	"20"	"2013"	"2013"	86	2902190	2.5	3.0
	"Tonsil"	"20070"	"Kansas"	"20"	"2014"	"2014"	69	2912032	2.0	2.4
	"Tonsil"	"20070"	"Kansas"	"20"	"2015"	"2015"	91	2923211	2.6	3.1
	"Tonsil"	"20070"	"Kansas"	"20"	"2016"	"2016"	83	2927628	2.5	2.8
	"Tonsil"	"20070"	"Kansas"	"20"	"2017"	"2017"	92	2927546	2.8	3.1
	"Tonsil"	"20070"	"Kansas"	"20"	"2018"	"2018"	85	2931560	2.5	2.9
	"Tonsil"	"20070"	"Kansas"	"20"	"2019"	"2019"	78	2933672	2.2	2.7
	"Tonsil"	"20070"	"Kansas"	"20"	"2020"	"2020"	80	2937919	2.3	2.7
	"Tonsil"	"20070"	"Kansas"	"20"	"2021"	"2021"	93	2937922	2.5	3.2
	"Oropharynx"	"20080"	"Kansas"	"20"	"1999"	"1999"	Suppressed	2678338	Suppressed	Suppressed
	"Oropharynx"	"20080"	"Kansas"	"20"	"2000"	"2000"	Suppressed	2693681	Suppressed	Suppressed
	"Oropharynx"	"20080"	"Kansas"	"20"	"2001"	"2001"	Suppressed	2702162	Suppressed	Suppressed
	"Oropharynx"	"20080"	"Kansas"	"20"	"2002"	"2002"	Suppressed	2713535	Suppressed	Suppressed
	"Oropharynx"	"20080"	"Kansas"	"20"	"2003"	"2003"	Suppressed	2723004	Suppressed	Suppressed
	"Oropharynx"	"20080"	"Kansas"	"20"	"2004"	"2004"	Suppressed	2734373	Suppressed	Suppressed
	"Oropharynx"	"20080"	"Kansas"	"20"	"2005"	"2005"	Suppressed	2745299	Suppressed	Suppressed
	"Oropharynx"	"20080"	"Kansas"	"20"	"2006"	"2006"	Suppressed	2762931	Suppressed	Suppressed
	"Oropharynx"	"20080"	"Kansas"	"20"	"2007"	"2007"	Suppressed	2783785	Suppressed	Suppressed
	"Oropharynx"	"20080"	"Kansas"	"20"	"2008"	"2008"	Suppressed	2808076	Suppressed	Suppressed
	"Oropharynx"	"20080"	"Kansas"	"20"	"2009"	"2009"	Suppressed	2832704	Suppressed	Suppressed
	"Oropharynx"	"20080"	"Kansas"	"20"	"2010"	"2010"	18	2858825	0.5	0.6
	"Oropharynx"	"20080"	"Kansas"	"20"	"2011"	"2011"	Suppressed	2872711	Suppressed	Suppressed
	"Oropharynx"	"20080"	"Kansas"	"20"	"2012"	"2012"	19	2891541	0.6	0.7
	"Oropharynx"	"20080"	"Kansas"	"20"	"2013"	"2013"	19	2902190	0.6	0.7
	"Oropharynx"	"20080"	"Kansas"	"20"	"2014"	"2014"	Suppressed	2912032	Suppressed	Suppressed
	"Oropharynx"	"20080"	"Kansas"	"20"	"2015"	"2015"	19	2923211	0.5	0.6
	"Oropharynx"	"20080"	"Kansas"	"20"	"2016"	"2016"	25	2927628	0.7	0.9
	"Oropharynx"	"20080"	"Kansas"	"20"	"2017"	"2017"	25	2927546	0.7	0.9
	"Oropharynx"	"20080"	"Kansas"	"20"	"2018"	"2018"	18	2931560	0.5	0.6
	"Oropharynx"	"20080"	"Kansas"	"20"	"2019"	"2019"	22	2933672	0.6	0.7
	"Oropharynx"	"20080"	"Kansas"	"20"	"2020"	"2020"	39	2937919	1.1	1.3
	"Oropharynx"	"20080"	"Kansas"	"20"	"2021"	"2021"	45	2937922	1.2	1.5
	"Hypopharynx"	"20090"	"Kansas"	"20"	"1999"	"1999"	16	2678338	0.6	0.6
	"Hypopharynx"	"20090"	"Kansas"	"20"	"2000"	"2000"	Suppressed	2693681	Suppressed	Suppressed
	"Hypopharynx"	"20090"	"Kansas"	"20"	"2001"	"2001"	16	2702162	0.6	0.6
	"Hypopharynx"	"20090"	"Kansas"	"20"	"2002"	"2002"	21	2713535	0.8	0.8
	"Hypopharynx"	"20090"	"Kansas"	"20"	"2003"	"2003"	19	2723004	0.7	0.7
	"Hypopharynx"	"20090"	"Kansas"	"20"	"2004"	"2004"	20	2734373	0.7	0.7
	"Hypopharynx"	"20090"	"Kansas"	"20"	"2005"	"2005"	Suppressed	2745299	Suppressed	Suppressed
	"Hypopharynx"	"20090"	"Kansas"	"20"	"2006"	"2006"	21	2762931	0.7	0.8
	"Hypopharynx"	"20090"	"Kansas"	"20"	"2007"	"2007"	17	2783785	0.6	0.6
	"Hypopharynx"	"20090"	"Kansas"	"20"	"2008"	"2008"	18	2808076	0.6	0.6
	"Hypopharynx"	"20090"	"Kansas"	"20"	"2009"	"2009"	Suppressed	2832704	Suppressed	Suppressed
	"Hypopharynx"	"20090"	"Kansas"	"20"	"2010"	"2010"	Suppressed	2858825	Suppressed	Suppressed
	"Hypopharynx"	"20090"	"Kansas"	"20"	"2011"	"2011"	Suppressed	2872711	Suppressed	Suppressed
	"Hypopharynx"	"20090"	"Kansas"	"20"	"2012"	"2012"	Suppressed	2891541	Suppressed	Suppressed
	"Hypopharynx"	"20090"	"Kansas"	"20"	"2013"	"2013"	20	2902190	0.6	0.7
	"Hypopharynx"	"20090"	"Kansas"	"20"	"2014"	"2014"	Suppressed	2912032	Suppressed	Suppressed
	"Hypopharynx"	"20090"	"Kansas"	"20"	"2015"	"2015"	17	2923211	0.5	0.6
	"Hypopharynx"	"20090"	"Kansas"	"20"	"2016"	"2016"	20	2927628	0.5	0.7
	"Hypopharynx"	"20090"	"Kansas"	"20"	"2017"	"2017"	18	2927546	0.5	0.6
	"Hypopharynx"	"20090"	"Kansas"	"20"	"2018"	"2018"	19	2931560	0.5	0.6
	"Hypopharynx"	"20090"	"Kansas"	"20"	"2019"	"2019"	16	2933672	0.4	0.5
	"Hypopharynx"	"20090"	"Kansas"	"20"	"2020"	"2020"	Suppressed	2937919	Suppressed	Suppressed
	"Hypopharynx"	"20090"	"Kansas"	"20"	"2021"	"2021"	Suppressed	2937922	Suppressed	Suppressed
	"Other Oral Cavity and Pharynx"	"20100"	"Kansas"	"20"	"1999"	"1999"	Suppressed	2678338	Suppressed	Suppressed
	"Other Oral Cavity and Pharynx"	"20100"	"Kansas"	"20"	"2000"	"2000"	Suppressed	2693681	Suppressed	Suppressed
	"Other Oral Cavity and Pharynx"	"20100"	"Kansas"	"20"	"2001"	"2001"	Suppressed	2702162	Suppressed	Suppressed
	"Other Oral Cavity and Pharynx"	"20100"	"Kansas"	"20"	"2002"	"2002"	Suppressed	2713535	Suppressed	Suppressed
